Querying for 1 movies

	2.00
	78.00
	585.67
	443.25
	355.00
	303.00
	261.57
	229.13
	294.89
	267.40
	248.64
	2899.67
	2676.77
	2485.93
	2321.13
	2177.31
	2058.06
	1943.83
	1841.63
	1749.65
	1666.48
	1594.64
	1526.39
	1463.83
	1408.72
	1355.50
	1306.22
	1260.71
	1218.10
	1186.67
	1149.90
	1134.75
	1111.12
	1078.82
	1230.71
	1196.69
	1164.46
	1134.47
	1106.03
	1213.75
	1186.24
	1158.40
	1132.05
	1106.89
	1082.38
	1110.17
	1087.55
	1064.94
	1043.29
	1022.54
	1004.18
	984.90
	967.21
	949.48
	932.31
	915.70
	899.74
	884.33
	870.83
	889.98
	1034.49
	1018.79
	1004.97
	989.66
	974.52
	960.47
	1040.27
	1516.94
	1495.04
	1474.91
	1457.38
	1437.17
	1417.51
	1398.69
	1380.37
	1362.24
	1344.87
	1327.65
	1443.46
	1450.23
	1432.48
	1432.02
	1414.99
	1398.17
	1382.73
	1366.94
	1388.01
	1372.26
	1356.87
	1341.81
	1327.09
	1312.93
	1299.09
	1285.91
	1296.17
	1283.56
	1270.97
	1258.02
	1245.57
	1233.13
	1223.20
	1211.23
	1199.59
	1188.90
	1181.22
	1172.25
	1162.09
	1151.56
	1141.02
	1130.87
	1146.96
	1136.95
	1126.90
	1117.04
	1177.15
	1167.11
	1174.10
	1170.06
	1162.16
	1152.58
	1149.65
	1140.28
	1131.21
	1122.29
	1123.18
	1114.46
	1113.02
	1104.52
	1097.74
	1089.32
	1081.04
	1072.98
	1137.88
	1129.40
	1121.05
	1112.99
	1104.88
	1096.88
	1089.01
	1081.41
	1073.76
	1152.56
	1144.59
	1136.66
	1128.99
	1121.27
	1113.82
	1107.84
	1100.44
	1093.11
	1085.96
	1128.89
	1129.39
	1122.06
	1114.99
	1108.00
	1101.89
	1094.92
	1088.58
	1081.93
	1075.37
	1080.98
	1074.88
	1068.48
	1062.01
	1055.64
	1049.35
	1043.12
	1037.09
	1031.14
	1025.61
	1019.66
	1025.24
	1019.37
	1013.90
	1008.15
	1002.94
	1008.46
	1002.86
	997.43
	991.93
	986.81
	981.57
	976.25
	971.11
	966.02
	961.32
	956.34
	951.73
	946.73
	941.80
	937.31
	932.47
	927.97
	940.96
	936.17
	931.43
	926.74
	922.21
	917.64
917.64
newline
1077.111025999309
