50	10	300	173	177	10	16	20	157	60	32	10	587	1334	1381757	16	348496	1016	10	10	39	62149	11	121	42634	2058281	10	1604	3183	37259	326	200	87	202	65	375	23	104	79	118	20	808	310	261389	34	20	10	511	28	936	919347	442	4659	40	10	109942	160	10	262134	508637	2478	13	39	362	56240	324157	119	3788517	10	19	72	661058	49	549	81	16	398010	10	11	157	11	66	613	274	599756	77	9316	863	12	9658	10	125	1655	166587	642	60	10	20	10	169	175	735731	12	27569	60	2220090	46596	1259355	15	18	10	22	963057	1169292	2426	625832	35715	10	484678	815	323	22	29	20111	571948	20635	3414	1710688	1588075	836075	10
25	10	147	209	102	10	20	19	93	35	34	10	309	862	727578	32	274143	1031	10	10	35	28412	12	73	47658	1350694	10	1738	1767	25614	183	102	60	152	43	266	14	104	55	72	20	917	160	184549	27	19	12	354	35	516	524939	2084	3689	31	10	112330	85	10	185870	335974	1304	14	29	526	41586	177499	125	1996483	10	16	60	330858	33	346	59	16	282994	10	11	127	15	67	338	170	319390	81	5549	528	15	6494	10	88	855	83312	1097	35	10	23	10	94	105	524777	14	19874	35	1716126	24962	750083	15	17	10	21	483032	632495	1461	419845	27282	10	266758	458	209	24	29	11808	388832	14344	2616	909024	1045250	416903	10
10	10	82	1870	55	10	25	22	67	20	40	10	152	1844	339464	24	251080	649	10	10	29	19673	69	43	48438	733480	10	13455	868	30716	77	57	30	108	27	115	34	104	40	44	20	748	71	99684	22	20	18	1107	24	288	477635	912	4231	22	30	89914	40	56	166562	217462	572	15	38	975	29411	119820	67	1126717	10	28	38	132738	23	199	49	29	187212	10	12	59	197	55	179	154	144702	903	2524	304	15	5067	10	87	375	33347	909	38	10	24	10	49	98	288855	28	19842	20	1047950	12668	349576	16	18	10	27	195017	275489	818	219578	15004	10	135208	242	169	49	32	6421	186262	78953	1390	414050	609956	226831	10
5	11	91	42	10	24	24	101	93730	236510	18	192349	2478	25	10	25	13658	32	58226	11	96941	543	37221	50	44	83	20	134	27	104	92	34	710	42	76327	21	19	17	12101	22	521	4291	17	20	167511	49	157609	244780	446	13	42	82036	15998	79589	49	713372	10	49	36	66698	33	233	43	21	204932	14	73	2965	138	88086	4174	1802	29148	14	2788	10	57	25	37	25	34	236403	54	17634	710035	277061	27	18	10	46	105968	149861	1396	163734	8561	12	116159	93	4752	231716	953	224365	124934	10
1	77696	1954	366	25	86134	12	27270	26	58	16	65	26	35	67	52818	15	14	28	241	12	20	240	57289	778	8365	27	13866	39	210	11	39	46	2917	9533	24	942	13	53	24973	138	29	22	95	41732	23	233	3680	465	65794	39556	17
