50	1	274	31	153	1	1	2	117	51	3	1	531	84	909272	3	124902	139	1	1	5	61922	1	103	14969	262146	1	987	2658	14925	259	28	7	67	52	109	5	1	33	79	2	570	300	159054	20	2	1	164	5	851	499711	286	1745	6	1	16305	151	1	170226	351367	2147	1	1	4	39980	104748	54	1522074	1	1	29	660456	27	342	41	1	202850	1	1	37	1	27	518	210	440714	8	7491	676	2	1960	1	53	1601	166551	363	46	1	1	1	151	136	61133	1	13156	51	1051614	43115	963745	1	1	1	1	960051	876637	1099	416009	17174	1	321569	341	56	1	2	16409	350936	5953	1161	1447478	259424	729770	1
25	1	114	34	78	1	1	2	59	26	3	1	269	271	469268	3	85973	59	1	1	4	28185	1	52	7232	83209	1	435	1335	7622	144	16	5	72	27	64	4	1	15	43	2	302	151	90949	12	2	1	100	5	426	234053	183	1312	10	1	8371	76	1	72765	176869	1091	1	4	28	19830	56198	58	834622	1	1	21	330256	13	177	22	1	94276	1	1	22	1	33	270	115	229729	12	4370	351	3	3288	1	28	801	83276	244	24	1	1	1	76	70	36456	1	7305	26	555978	21558	524278	1	1	1	1	480026	463662	612	216124	7938	1	149274	158	12	1	2	8135	150614	3125	920	788152	163650	352323	1
10	1	57	22	32	1	1	2	30	11	3	1	115	257	219890	11	48532	71	1	1	4	19446	1	23	2915	32709	1	223	529	2833	53	10	21	38	12	23	2	1	16	19	2	150	61	44544	8	2	1	51	1	171	159028	75	486	7	1	3245	31	1	39090	72290	489	1	4	22	8005	21274	49	532330	1	1	13	132136	7	76	10	1	38191	1	1	12	1	7	111	27	117876	5	1859	139	1	1399	1	13	321	33311	137	11	1	1	1	31	40	20408	1	2853	11	528741	8637	210749	1	1	1	3	192011	220335	242	142937	13769	1	79652	54	44	1	2	3105	61858	1921	556	367812	106536	195621	1
5	1	30	6	18	1	3	2	19	6	3	1	58	203	110976	5	27724	62	1	1	4	13431	1	12	1738	21630	1	1387	265	1636	28	18	11	29	7	79	2	1	10	11	2	83	31	39272	5	2	1	55	7	86	73594	41	289	5	1	1781	16	1	27865	35442	239	1	2	12	3908	36287	23	298936	1	1	9	66096	4	30	5	1	27744	1	1	18	1	8	56	17	58844	11	854	74	1	652	1	8	161	16656	49	6	1	2	1	16	17	3995	1	1379	6	316008	4341	102660	1	1	1	2	96006	111802	121	78807	5229	1	48574	24	29	4	2	1436	32687	1024	416	197113	74281	100620	1
1	1	7	4	5	1	1	2	7	2	3	1	18	30	65716	5	25782	3	1	1	2	139	2	5	347	46861	1	55	66	328	11	17	3	9	3	17	2	1	3	3	2	196	7	13526	3	2	1	7	3	18	17529	152	73	3	3	735	4	1	18885	9488	53	1	3	28	1260	12994	11	85144	1	1	5	13264	2	26	4	1	16591	1	1	8	1	7	12	7	13456	9	250	21	1	240	1	3	33	3332	15	2	1	1	1	4	6	12921	1	325	2	58953	869	32404	1	1	1	4	19202	27292	202	29111	1710	1	11436	17	7	6	2	364	12174	817	76	38289	53792	20382	1
